ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,origin,info_code,info_msg,resp_filenames
1759313365.446803,CbKBR7Vo0Fq30nFRl,10.0.0.2,41120,10.0.0.1,80,1,POST,10.0.0.1,/api/oauth2callback/oauth2callback/samples.php?x=71672l290,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",171,0,202.0,Accepted,[],,,['FCUvfZxVoB1VfFvnj'],['text/plain'],,,,,
1759314202.37495,CxPmrpERiEjlC68l8,10.0.0.1,42698,91.189.91.49,80,1,GET,connectivity-check.ubuntu.com.,/,1.1,,0,0,204.0,No Content,[],,,,,,,,,
1759314217.086041,CGsRVeQdXd2N0sg67,10.0.0.2,34530,10.0.0.1,80,1,POST,10.0.0.1,/oauth/samples.php?w=39875942,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",1007,0,202.0,Accepted,[],,,['FggOng2IJgNDCoDG3l'],['text/plain'],,,,,
1759314217.087921,CGsRVeQdXd2N0sg67,10.0.0.2,34530,10.0.0.1,80,2,GET,10.0.0.1,/bundles/bundles/bootstrap.js?b=87292546,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FKAPDJ1ILnuY2qGJ24'],['text/plain'],,,,,,,
1759314298.81954,CAllxk24jogQdHGCWc,10.0.0.2,52450,10.0.0.1,80,2,GET,10.0.0.1,/scripts/umd/bootstrap.js?b=2s2u483255,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,86,200.0,OK,[],['FzTMRz4GK0iHsedNF8'],['application/x-gzip'],,,,,,,
1759314298.817596,CAllxk24jogQdHGCWc,10.0.0.2,52450,10.0.0.1,80,1,POST,10.0.0.1,/database/db/namespaces/php/db/php/api.php?b=108931w16,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",171,0,202.0,Accepted,[],,,['FQM1Bw2BXWaO1pGh5j'],['text/plain'],,,,,
1759313448.680304,CKRcd24msCNbrIq9va,10.0.0.2,44318,10.0.0.1,80,2,GET,10.0.0.1,/scripts/javascript/jscript/jscript/umd/script.js?_=6c824w8173,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,86,200.0,OK,[],['FEVQoY1ZyU306g0a88'],['application/x-gzip'],,,,,,,
1759313448.678879,CKRcd24msCNbrIq9va,10.0.0.2,44318,10.0.0.1,80,1,POST,10.0.0.1,/database/php/db/oauth/database/api.php?o=26925015,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",966,0,202.0,Accepted,[],,,['Fwv8tB1k7bsct6znu8'],['text/plain'],,,,,
1759313536.169176,CVdThW3Fcacr84TLg9,10.0.0.2,47390,10.0.0.1,80,2,GET,10.0.0.1,/scripts/jscript/js/bundle/js/jquery.min.js?y=t3342773t1,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FcyXi72wQLXQx5hLG'],['text/plain'],,,,,,,
1759314365.742068,C3C4JC2g4ACoD9Trg,10.0.0.2,36986,10.0.0.1,80,2,GET,10.0.0.1,/scripts/scripts/umd/javascript/bootstrap.js?q=26783749,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FLWuaa2fXlBcdHgWyd'],['text/plain'],,,,,,,
